"filename", "language", "JSON", "HTML", "JavaScript", "Vue", "XML", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\package-lock.json", "JSON", 3698, 0, 0, 0, 0, 0, 0, 0, 1, 3699
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\public\favicon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\public\icons.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\src\App.vue", "Vue", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\src\api\index.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 11, 69
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\src\assets\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Administrator\Desktop\2026年1月7日\卡歌\农家菌肥商城小程序\TW-MiniApp-chuqiAdmin\camping-life-admin-vue\src\assets\vue.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
